adview,views,likes,dislikes,comment,year,day_of_week,month,day,week_number,season,quarter,part_of_month
1,15930,7,4,0,2014,1,1,7,2,0,0,0
1,3096,69,1,5,2015,6,11,22,47,3,3,2
1,21341,422,6,86,2014,3,2,6,6,0,0,0
3,371314,2765,198,660,2015,0,7,6,28,2,2,0
1,14161,181,2,6,2016,5,8,20,33,2,2,1
1,42318,113,6,10,2015,3,11,19,47,3,3,1
1,38210,43,5,0,2013,3,9,12,37,3,2,1
4,1430600,13867,347,741,2015,4,9,25,39,3,2,2
1,64466,161,13,23,2015,0,7,6,28,2,2,0
3,63015,363,15,42,2016,2,7,20,29,2,2,1
1,455101,2260,77,451,2015,4,9,11,37,3,2,1
1,129869,787,49,12,2015,1,4,7,15,1,1,0
1,43032,79,3,48,2015,1,11,3,45,3,3,0
7,1020381,3007,769,2672,2016,4,6,10,23,2,1,0
1,8682,26,2,2,2014,4,9,19,38,3,2,1
2,2708891,127170,2398,852,2015,4,11,20,47,3,3,1
1,52198,175,9,4,2012,2,4,4,14,1,1,0
1,45163,249,557,901,2011,3,6,23,25,2,1,2
1,23062,83,6,5,2013,4,7,5,27,2,2,0
19,4033136,14200,307,1390,2015,1,6,2,23,2,1,0
2,966367,2077,422,644,2013,0,8,12,33,2,2,1
35043,55288,33,1,0,2015,3,5,14,20,1,1,1
2,438785,1318,146,46,2016,3,8,18,33,2,2,1
9,1131602,2170,265,516,2016,4,9,9,36,3,2,0
6,950944,5214,925,7084,2016,6,10,2,39,3,3,0
2620,54590,67,14,11,2015,4,12,18,51,0,3,1
1,1136517,1439,176,201,2015,4,11,27,48,3,3,2
5408,7315,28,6,3,2017,1,1,24,4,0,0,2
1,812825,2793,154,319,2016,2,1,27,4,0,0,2
1,45518,142,17,18,2013,1,6,25,26,2,1,2
1,697859,2924,241,180,2016,0,6,13,24,2,1,1
1,96884,29,16,1,2012,4,8,31,35,2,2,2
2,379724,385,147,18,2015,4,5,22,21,1,1,2
5,45331,136,6,16,2013,0,6,10,24,2,1,0
2408,5772,76,0,10,2017,0,1,9,2,0,0,0
1,114537,472,39,118,2014,3,7,31,31,2,2,2
8,107491,676,8,37,2012,2,11,28,48,3,3,2
1,1039,6,0,4,2011,6,11,6,44,3,3,0
2,272078,530,30,26,2014,4,3,7,10,1,0,0
2,726,10,0,0,2016,2,6,22,25,2,1,2
26,616379,3164,49,651,2010,6,10,24,42,3,3,2
9,109068,132,18,20,2013,2,6,19,25,2,1,1
26,1734941,9246,850,541,2014,6,5,25,21,1,1,2
1,566940,548,130,77,2015,4,4,17,16,1,1,1
1,908536,753,234,104,2015,2,2,25,9,0,0,2
1,726331,587,50,213,2007,5,12,29,52,0,3,2
2787,3482,41,0,7,2017,2,3,29,13,1,0,2
1,1016669,14249,78,881,2016,0,3,14,11,1,0,1
2,174656,988,116,446,2016,3,9,8,36,3,2,0
167,271123,660,75,330,2015,5,12,12,50,0,3,1
66,251876,324,45,28,2013,2,9,11,37,3,2,1
1,855,0,2,1,2013,1,2,26,9,0,0,2
5,852691,1525,242,243,2015,0,5,25,22,1,1,2
2,51411,354,30,119,2016,3,9,8,36,3,2,0
224,5453525,4143,1860,552,2016,5,8,13,32,2,2,1
138,7247213,65467,1766,4562,2014,6,1,26,4,0,0,2
1,262109,3056,95,159,2017,0,3,20,12,1,0,1
1,7264,24,0,5,2016,2,3,2,9,1,0,0
1,177414,114,28,2,2014,6,8,17,33,2,2,1
2,115393,459,17,12,2015,3,8,13,33,2,2,1
4,191786,112,24,3,2012,1,12,4,49,0,3,0
71,279282,657,46,56,2012,0,6,25,26,2,1,2
1,180404,53,44,1,2014,1,6,10,24,2,1,0
1,1916,6,0,1,2016,0,5,30,22,1,1,2
2877,5075,26,2,1,2016,0,9,19,38,3,2,1
2,246120,379,38,0,2014,5,1,18,3,0,0,1
1,356,1,0,0,2013,6,3,24,12,1,0,2
1,336595,815,52,33,2015,0,6,29,27,2,1,2
1087,11294,83,4,8,2016,0,6,6,23,2,1,0
1,846245,4090,148,876,2014,2,11,19,47,3,3,1
1,1611655,5812,348,651,2016,2,12,7,49,0,3,0
2,76430,74,20,6,2016,2,8,31,35,2,2,2
1,658019,4778,396,313,2016,6,2,7,5,0,0,0
3,29417,80,5,178,2015,0,10,19,43,3,3,1
1,34962,1241,6,95,2016,1,1,26,4,0,0,2
16,427297,854,61,73,2012,1,9,25,39,3,2,2
1,466663,749,46,117,2011,3,12,22,51,0,3,2
2,252108,208,94,5,2016,3,3,10,10,1,0,0
6,222739,2425,137,2076,2014,2,2,26,9,0,0,2
20,539381,1682,214,232,2014,2,3,5,10,1,0,0
1,57014,181,5,7,2013,1,12,3,49,0,3,0
2,412791,471,89,11,2016,5,2,20,7,0,0,1
1,93132,146,12,10,2009,0,12,14,51,0,3,1
5684,139842,1662,53,265,2017,2,2,1,5,0,0,0
1,393228,2040,112,70,2015,5,7,18,29,2,2,1
11,1737011,1003,276,43,2014,0,9,29,40,3,2,2
1,332533,515,47,99,2015,3,3,26,13,1,0,2
2,105699,198,14,20,2010,2,1,20,3,0,0,1
31,15014236,18520,3770,1794,2014,3,10,2,40,3,3,0
2,96697,1623,18,44,2015,3,7,2,27,2,2,0
1,116320,1114,60,100,2016,4,7,22,29,2,2,2
9,461810,449,73,13,2014,3,4,17,16,1,1,1
1,29392,26,3,0,2014,2,9,17,38,3,2,1
4,493046,120,91,11,2015,2,8,19,34,2,2,1
2,2544057,20707,1663,9253,2015,2,12,23,52,0,3,2
3,779007,2804,235,178,2016,3,2,18,7,0,0,1
1,1079692,11261,451,975,2015,1,8,18,34,2,2,1
8,276336,5635,51,740,2016,6,4,3,13,1,1,0
5,197169,238,46,46,2013,4,5,24,21,1,1,2
1,85982,1231,157,333,2016,0,4,18,16,1,1,1
10,347821,3127,98,475,2015,4,4,3,14,1,1,0
1,292291,390,78,19,2014,1,7,15,29,2,2,1
186,3982304,18428,411,5411,2013,1,7,2,27,2,2,0
6,880625,1500,167,47,2015,5,7,4,27,2,2,0
1,46609,84,11,1,2014,6,11,23,47,3,3,2
2,36605,667,35,102,2013,0,1,14,3,0,0,1
3,656624,853,416,94,2011,0,9,26,39,3,2,2
1,18144,31,4,3,2011,3,6,30,26,2,1,2
1,54418,401,21,26,2012,0,8,27,35,2,2,2
1,149,1,0,0,2016,4,2,26,8,0,0,2
1,23354,28,4,0,2012,4,7,20,29,2,2,1
1,983777,1091,509,162,2017,5,3,11,10,1,0,1
3,295391,384,65,41,2014,4,7,4,27,2,2,0
1,52504,32,5,0,2013,2,6,26,26,2,1,2
1,885,0,0,0,2014,4,4,4,14,1,1,0
1,535,8,0,1,2016,3,8,4,31,2,2,0
3,153218,46,39,0,2013,3,11,28,48,3,3,2
48,59598,125,7,5,2012,4,7,6,27,2,2,0
4,1929022,21541,2238,F,2015,4,8,14,33,2,2,1
1,270802,1027,111,112,2016,1,2,16,7,0,0,1
3,989705,13734,993,1447,2016,3,5,5,18,1,1,0
1,7422,49,5,4,2013,4,10,18,42,3,3,1
1,77147,348,87,189,2016,4,7,15,28,2,2,1
1,49658,20,7,1,2016,4,1,8,1,0,0,0
2,269256,366,66,11,2014,3,4,17,16,1,1,1
1,65006,642,20,24,2016,4,7,15,28,2,2,1
1,60898,161,8,9,2013,2,5,1,18,1,1,0
1,7274,29,7,10,2014,5,1,25,4,0,0,2
4642,12346,17,1,0,2015,3,4,2,14,1,1,0
1,675863,3208,439,1210,2015,5,6,27,26,2,1,2
1,874,2,2,0,2013,2,4,24,17,1,1,2
23,268833,491,28,60,2011,1,10,18,42,3,3,1
2,5377,13,3,2,2013,1,8,27,35,2,2,2
1,514763,1011,100,119,2016,2,3,23,12,1,0,2
11,299429,567,75,74,2015,0,5,4,19,1,1,0
2,3464,5,1,0,2014,4,4,25,17,1,1,2
1,134606,182,18,13,2010,0,5,17,20,1,1,1
2,133875,1029,23,164,2016,0,7,18,29,2,2,1
5,697712,13022,246,1251,2016,1,9,6,36,3,2,0
3,177977,269,57,24,2013,2,8,21,34,2,2,2
4,43365,80,6,15,2011,1,6,21,25,2,1,2
1,33976,34,19,0,2016,6,3,27,12,1,0,2
1,158,20,1,32,2015,6,12,20,51,0,3,1
1,867685,263,252,24,2013,5,12,21,51,0,3,2
2,37811,549,7,21,2015,4,7,3,27,2,2,0
1,250701,1097,212,458,2007,3,1,18,3,0,0,1
2,2397044,58311,6017,6144,2016,4,6,24,25,2,1,2
1,611242,1575,185,160,2016,4,3,18,11,1,0,1
6,53465,47,11,6,2012,5,9,8,36,3,2,0
1,303980,1273,69,162,2016,4,7,29,30,2,2,2
1,34267,70,2,5,2010,0,9,13,37,3,2,1
1,17792,114,3,25,2013,1,8,27,35,2,2,2
1,205268,197,7,5,2014,3,7,31,31,2,2,2
1,6144,18,2,2,2013,5,11,30,48,3,3,2
1,763778,594,177,114,2015,4,8,28,35,2,2,2
26,1434549,2886,690,255,2016,4,9,9,36,3,2,0
1,11167,6,0,1,2016,3,6,2,22,2,1,0
2,1046440,1121,534,39,2015,2,10,7,41,3,3,0
722,2190,7,2,0,2014,3,6,5,23,2,1,0
2,471095,2446,113,1180,2016,0,5,23,21,1,1,2
963,1242,3,0,0,2015,3,3,19,12,1,0,1
8,183472,588,22,32,2014,0,1,13,3,0,0,1
